model,sequence_type,best_val_acc,best_val_auc,final_val_acc,final_val_auc
BiLSTM,peak_seq,0.8699137493658041,0.9451887460006064,0.8685946220192795,0.9451887460006064
BiLSTM,context_seq,0.689193302891933,0.7697590050890474,0.684830035514967,0.7681254824261531
BiLSTM,full_seq,0.832673769660071,0.9206098674138216,0.8306443429731101,0.9206098674138216
Transformer,peak_seq,0.6769152714358194,0.7509840113249989,0.6750887874175545,0.7509840113249989
Transformer,context_seq,0.6339928970065957,0.6888427021484552,0.626078132927448,0.6880213364721711
Transformer,full_seq,0.6622019279553526,0.7259094291790785,0.654388635210553,0.7259094291790785
